Gender,Country of Birth,Demographic Group,Value,SAL_NAME_2021,Year,Predicted_Value
M,Afghanistan,10_24,4,Bell Park,2026,58.724166666666655
M,Afghanistan,10_24,5,Bell Post Hill,2026,58.724166666666655
M,Afghanistan,10_24,17,Berwick,2026,58.724166666666655
M,Afghanistan,10_24,4,Broadmeadows (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,4,Bundoora (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,6,Cairnlea,2026,58.724166666666655
M,Afghanistan,10_24,4,Caroline Springs,2026,58.724166666666655
M,Afghanistan,10_24,4,Clayton,2026,58.724166666666655
M,Afghanistan,10_24,14,Clyde (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,70,Clyde North,2026,58.724166666666655
M,Afghanistan,10_24,39,Corio,2026,58.724166666666655
M,Afghanistan,10_24,29,Craigieburn,2026,58.724166666666655
M,Afghanistan,10_24,66,Cranbourne,2026,58.724166666666655
M,Afghanistan,10_24,105,Cranbourne East,2026,58.724166666666655
M,Afghanistan,10_24,130,Cranbourne North,2026,58.724166666666655
M,Afghanistan,10_24,61,Cranbourne West,2026,58.724166666666655
M,Afghanistan,10_24,288,Dandenong,2026,58.724166666666655
M,Afghanistan,10_24,61,Dandenong North,2026,58.724166666666655
M,Afghanistan,10_24,6,Deer Park,2026,58.724166666666655
M,Afghanistan,10_24,4,Delahey,2026,58.724166666666655
M,Afghanistan,10_24,7,Derrimut,2026,58.724166666666655
M,Afghanistan,10_24,89,Doveton,2026,58.724166666666655
M,Afghanistan,10_24,87,Endeavour Hills,2026,58.724166666666655
M,Afghanistan,10_24,6,Epping (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,27,Eumemmerring,2026,58.724166666666655
M,Afghanistan,10_24,6,Fawkner,2026,58.724166666666655
M,Afghanistan,10_24,105,Hallam,2026,58.724166666666655
M,Afghanistan,10_24,7,Hamlyn Heights,2026,58.724166666666655
M,Afghanistan,10_24,172,Hampton Park,2026,58.724166666666655
M,Afghanistan,10_24,14,Keysborough,2026,58.724166666666655
M,Afghanistan,10_24,14,Kialla,2026,58.724166666666655
M,Afghanistan,10_24,4,Kings Park (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,45,Lynbrook,2026,58.724166666666655
M,Afghanistan,10_24,19,Lyndhurst (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,9,Melbourne,2026,58.724166666666655
M,Afghanistan,10_24,4,Melton West,2026,58.724166666666655
M,Afghanistan,10_24,4,Mickleham,2026,58.724166666666655
M,Afghanistan,10_24,28,Mildura,2026,58.724166666666655
M,Afghanistan,10_24,7,Mill Park,2026,58.724166666666655
M,Afghanistan,10_24,4,Mooroolbark,2026,58.724166666666655
M,Afghanistan,10_24,82,Narre Warren,2026,58.724166666666655
M,Afghanistan,10_24,15,Narre Warren North,2026,58.724166666666655
M,Afghanistan,10_24,273,Narre Warren South,2026,58.724166666666655
M,Afghanistan,10_24,15,Noble Park,2026,58.724166666666655
M,Afghanistan,10_24,4,Noble Park North,2026,58.724166666666655
M,Afghanistan,10_24,14,Norlane,2026,58.724166666666655
M,Afghanistan,10_24,6,Officer,2026,58.724166666666655
M,Afghanistan,10_24,10,Pakenham,2026,58.724166666666655
M,Afghanistan,10_24,5,Parkville (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,3,Reservoir (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,3,Scoresby,2026,58.724166666666655
M,Afghanistan,10_24,47,Shepparton,2026,58.724166666666655
M,Afghanistan,10_24,4,South Wharf,2026,58.724166666666655
M,Afghanistan,10_24,3,Southbank,2026,58.724166666666655
M,Afghanistan,10_24,3,Springvale (Vic.),2026,58.724166666666655
M,Afghanistan,10_24,6,Springvale South,2026,58.724166666666655
