Gender,Country,Age_Group,Value,SAL_NAME_2021
M,Afghanistan,10_24,4,Bell Park
M,Afghanistan,10_24,5,Bell Post Hill
M,Afghanistan,10_24,17,Berwick
M,Afghanistan,10_24,4,Broadmeadows (Vic.)
M,Afghanistan,10_24,4,Bundoora (Vic.)
M,Afghanistan,10_24,6,Cairnlea
M,Afghanistan,10_24,4,Caroline Springs
M,Afghanistan,10_24,4,Clayton
M,Afghanistan,10_24,14,Clyde (Vic.)
M,Afghanistan,10_24,70,Clyde North
M,Afghanistan,10_24,39,Corio
M,Afghanistan,10_24,29,Craigieburn
M,Afghanistan,10_24,66,Cranbourne
M,Afghanistan,10_24,105,Cranbourne East
M,Afghanistan,10_24,130,Cranbourne North
M,Afghanistan,10_24,61,Cranbourne West
M,Afghanistan,10_24,288,Dandenong
M,Afghanistan,10_24,61,Dandenong North
M,Afghanistan,10_24,6,Deer Park
M,Afghanistan,10_24,4,Delahey
M,Afghanistan,10_24,7,Derrimut
M,Afghanistan,10_24,89,Doveton
M,Afghanistan,10_24,87,Endeavour Hills
M,Afghanistan,10_24,6,Epping (Vic.)
M,Afghanistan,10_24,27,Eumemmerring
M,Afghanistan,10_24,6,Fawkner
M,Afghanistan,10_24,105,Hallam
M,Afghanistan,10_24,7,Hamlyn Heights
M,Afghanistan,10_24,172,Hampton Park
M,Afghanistan,10_24,14,Keysborough
M,Afghanistan,10_24,14,Kialla
M,Afghanistan,10_24,4,Kings Park (Vic.)
M,Afghanistan,10_24,45,Lynbrook
M,Afghanistan,10_24,19,Lyndhurst (Vic.)
M,Afghanistan,10_24,9,Melbourne
M,Afghanistan,10_24,4,Melton West
M,Afghanistan,10_24,4,Mickleham
M,Afghanistan,10_24,28,Mildura
M,Afghanistan,10_24,7,Mill Park
M,Afghanistan,10_24,4,Mooroolbark
M,Afghanistan,10_24,82,Narre Warren
M,Afghanistan,10_24,15,Narre Warren North
M,Afghanistan,10_24,273,Narre Warren South
M,Afghanistan,10_24,15,Noble Park
M,Afghanistan,10_24,4,Noble Park North
M,Afghanistan,10_24,14,Norlane
M,Afghanistan,10_24,6,Officer
M,Afghanistan,10_24,10,Pakenham
M,Afghanistan,10_24,5,Parkville (Vic.)
M,Afghanistan,10_24,3,Reservoir (Vic.)
M,Afghanistan,10_24,3,Scoresby
M,Afghanistan,10_24,47,Shepparton
M,Afghanistan,10_24,4,South Wharf
M,Afghanistan,10_24,3,Southbank
M,Afghanistan,10_24,3,Springvale (Vic.)
M,Afghanistan,10_24,6,Springvale South
M,Afghanistan,10_24,8,St Albans (Vic.)
M,Afghanistan,10_24,3,Sunshine North
M,Afghanistan,10_24,15,Sunshine West
M,Afghanistan,10_24,5,Swan Hill
M,Afghanistan,10_24,3,No usual address (Vic.)
M,Afghanistan,25_44,3,Aintree
M,Afghanistan,25_44,11,Albanvale
M,Afghanistan,25_44,11,Albion (Vic.)
M,Afghanistan,25_44,6,Altona North
M,Afghanistan,25_44,8,Ararat
M,Afghanistan,25_44,11,Ardeer
M,Afghanistan,25_44,6,Ballarat Central
M,Afghanistan,25_44,3,Bayswater (Vic.)
M,Afghanistan,25_44,4,Beaconsfield (Vic.)
M,Afghanistan,25_44,4,Beaumaris (Vic.)
M,Afghanistan,25_44,6,Bell Park
M,Afghanistan,25_44,7,Bell Post Hill
M,Afghanistan,25_44,4,Belmont (Vic.)
M,Afghanistan,25_44,3,Benalla
M,Afghanistan,25_44,94,Berwick
M,Afghanistan,25_44,3,Blackburn South
M,Afghanistan,25_44,6,Botanic Ridge
M,Afghanistan,25_44,19,Braybrook
M,Afghanistan,25_44,17,Broadmeadows (Vic.)
M,Afghanistan,25_44,5,Brookfield (Vic.)
M,Afghanistan,25_44,4,Brunswick (Vic.)
M,Afghanistan,25_44,5,Bundoora (Vic.)
M,Afghanistan,25_44,5,Burnside (Vic.)
M,Afghanistan,25_44,5,Burwood (Vic.)
M,Afghanistan,25_44,6,Burwood East
M,Afghanistan,25_44,16,Cairnlea
M,Afghanistan,25_44,3,Camberwell (Vic.)
M,Afghanistan,25_44,4,Carlton (Vic.)
M,Afghanistan,25_44,3,Carlton North
M,Afghanistan,25_44,16,Caroline Springs
M,Afghanistan,25_44,15,Carrum Downs
M,Afghanistan,25_44,20,Chadstone
M,Afghanistan,25_44,3,Clarinda
M,Afghanistan,25_44,12,Clayton
M,Afghanistan,25_44,6,Clayton South
M,Afghanistan,25_44,45,Clyde (Vic.)
M,Afghanistan,25_44,222,Clyde North
M,Afghanistan,25_44,3,Cobblebank
M,Afghanistan,25_44,17,Colac
M,Afghanistan,25_44,4,Collingwood (Vic.)
M,Afghanistan,25_44,4,Coolaroo
M,Afghanistan,25_44,76,Corio
M,Afghanistan,25_44,71,Craigieburn
M,Afghanistan,25_44,162,Cranbourne
M,Afghanistan,25_44,253,Cranbourne East
M,Afghanistan,25_44,367,Cranbourne North
M,Afghanistan,25_44,7,Cranbourne South
M,Afghanistan,25_44,202,Cranbourne West
M,Afghanistan,25_44,7,Dallas
M,Afghanistan,25_44,1220,Dandenong
M,Afghanistan,25_44,289,Dandenong North
M,Afghanistan,25_44,32,Deer Park
M,Afghanistan,25_44,7,Delahey
M,Afghanistan,25_44,25,Derrimut
M,Afghanistan,25_44,4,Devon Meadows
M,Afghanistan,25_44,3,Docklands
M,Afghanistan,25_44,5,Doncaster East
M,Afghanistan,25_44,496,Doveton
M,Afghanistan,25_44,241,Endeavour Hills
M,Afghanistan,25_44,20,Epping (Vic.)
M,Afghanistan,25_44,87,Eumemmerring
M,Afghanistan,25_44,10,Fawkner
M,Afghanistan,25_44,7,Ferntree Gully
M,Afghanistan,25_44,9,Fitzroy (Vic.)
M,Afghanistan,25_44,3,Flora Hill
M,Afghanistan,25_44,7,Footscray
M,Afghanistan,25_44,5,Forest Hill (Vic.)
M,Afghanistan,25_44,6,Frankston
M,Afghanistan,25_44,4,Frankston North
M,Afghanistan,25_44,16,Fraser Rise
M,Afghanistan,25_44,7,Geelong West
M,Afghanistan,25_44,9,Glen Waverley
M,Afghanistan,25_44,8,Glenroy (Vic.)
M,Afghanistan,25_44,4,Golden Square
M,Afghanistan,25_44,4,Greenvale (Vic.)
M,Afghanistan,25_44,316,Hallam
M,Afghanistan,25_44,561,Hampton Park
M,Afghanistan,25_44,6,Harkness
M,Afghanistan,25_44,4,Heidelberg West
M,Afghanistan,25_44,3,Highton
M,Afghanistan,25_44,9,Hillside (Melton - Vic.)
M,Afghanistan,25_44,9,Hoppers Crossing
M,Afghanistan,25_44,5,Kalkallo
M,Afghanistan,25_44,6,Kangaroo Flat (Vic.)
M,Afghanistan,25_44,3,Keilor Downs
M,Afghanistan,25_44,73,Keysborough
M,Afghanistan,25_44,19,Kialla
M,Afghanistan,25_44,4,Kings Park (Vic.)
M,Afghanistan,25_44,4,Knoxfield
M,Afghanistan,25_44,4,Koo Wee Rup
M,Afghanistan,25_44,6,Kurunjang
M,Afghanistan,25_44,16,Lalor
M,Afghanistan,25_44,11,Lara
M,Afghanistan,25_44,4,Laverton (Vic.)
M,Afghanistan,25_44,3,Lovely Banks
M,Afghanistan,25_44,113,Lynbrook
M,Afghanistan,25_44,80,Lyndhurst (Vic.)
M,Afghanistan,25_44,11,Maidstone
M,Afghanistan,25_44,6,Malvern East
M,Afghanistan,25_44,4,Manor Lakes
M,Afghanistan,25_44,7,Maribyrnong
M,Afghanistan,25_44,12,Melbourne
M,Afghanistan,25_44,4,Melton (Vic.)
M,Afghanistan,25_44,6,Melton South
M,Afghanistan,25_44,3,Melton West
M,Afghanistan,25_44,9,Mickleham
M,Afghanistan,25_44,53,Mildura
M,Afghanistan,25_44,11,Mill Park
M,Afghanistan,25_44,4,Mitcham (Vic.)
M,Afghanistan,25_44,4,Montmorency
M,Afghanistan,25_44,6,Morwell
M,Afghanistan,25_44,6,Mount Duneed
M,Afghanistan,25_44,5,Mount Pleasant (Vic.)
M,Afghanistan,25_44,9,Mount Waverley
M,Afghanistan,25_44,12,Mulgrave (Vic.)
M,Afghanistan,25_44,227,Narre Warren
M,Afghanistan,25_44,47,Narre Warren North
M,Afghanistan,25_44,525,Narre Warren South
M,Afghanistan,25_44,91,Noble Park
M,Afghanistan,25_44,29,Noble Park North
M,Afghanistan,25_44,45,Norlane
M,Afghanistan,25_44,3,North Geelong
M,Afghanistan,25_44,4,Nunawading
M,Afghanistan,25_44,3,Oak Park
M,Afghanistan,25_44,6,Oakleigh
M,Afghanistan,25_44,6,Oakleigh East
M,Afghanistan,25_44,7,Oakleigh South
M,Afghanistan,25_44,42,Officer
M,Afghanistan,25_44,66,Pakenham
M,Afghanistan,25_44,3,Parkville (Vic.)
M,Afghanistan,25_44,22,Point Cook
M,Afghanistan,25_44,5,Port Melbourne
M,Afghanistan,25_44,8,Ravenhall
M,Afghanistan,25_44,17,Reservoir (Vic.)
M,Afghanistan,25_44,3,Richmond (Vic.)
M,Afghanistan,25_44,6,Robinvale
M,Afghanistan,25_44,22,Rowville
M,Afghanistan,25_44,15,Roxburgh Park
M,Afghanistan,25_44,8,Scoresby
M,Afghanistan,25_44,3,Seaford (Vic.)
M,Afghanistan,25_44,156,Shepparton
M,Afghanistan,25_44,3,Skye (Vic.)
M,Afghanistan,25_44,4,South Morang
M,Afghanistan,25_44,5,South Wharf
M,Afghanistan,25_44,11,Southbank
M,Afghanistan,25_44,20,Springvale (Vic.)
M,Afghanistan,25_44,7,Springvale South
M,Afghanistan,25_44,23,St Albans (Vic.)
M,Afghanistan,25_44,5,St Kilda (Vic.)
M,Afghanistan,25_44,27,Sunshine (Vic.)
M,Afghanistan,25_44,19,Sunshine North
M,Afghanistan,25_44,68,Sunshine West
M,Afghanistan,25_44,15,Swan Hill
M,Afghanistan,25_44,3,Sydenham (Vic.)
M,Afghanistan,25_44,31,Tarneit
M,Afghanistan,25_44,12,Taylors Hill
M,Afghanistan,25_44,5,Templestowe Lower
M,Afghanistan,25_44,15,Thomastown
M,Afghanistan,25_44,42,Truganina
M,Afghanistan,25_44,3,Wantirna
M,Afghanistan,25_44,5,Wantirna South
M,Afghanistan,25_44,4,Warragul
