Year,Year ending,Demographic Category,Demographic Group,Country of Birth,Unique Alleged Offenders
2025,June,Age Group,10_24,Afghanistan,58
2025,June,Age Group,10_24,Australia,4840
2025,June,Age Group,10_24,China,17
2025,June,Age Group,10_24,India,14
2025,June,Age Group,10_24,Iran,20
2025,June,Age Group,10_24,New Zealand,90
2025,June,Age Group,10_24,South Sudan & Sudan,14
2025,June,Age Group,10_24,Sri Lanka,4
2025,June,Age Group,10_24,UK & Ireland,19
2025,June,Age Group,10_24,Vietnam,14
2025,June,Age Group,10_24,Afghanistan,30
2025,June,Age Group,10_24,Australia,2266
2025,June,Age Group,10_24,China,11
2025,June,Age Group,10_24,India,25
2025,June,Age Group,10_24,Iran,15
2025,June,Age Group,10_24,New Zealand,53
2025,June,Age Group,10_24,South Sudan & Sudan,10
2025,June,Age Group,10_24,Sri Lanka,5
2025,June,Age Group,10_24,UK & Ireland,16
2025,June,Age Group,10_24,Vietnam,9
2025,June,Age Group,10_24,Afghanistan,65
2025,June,Age Group,10_24,Australia,5412
2025,June,Age Group,10_24,China,104
2025,June,Age Group,10_24,India,201
2025,June,Age Group,10_24,Iran,35
2025,June,Age Group,10_24,New Zealand,168
2025,June,Age Group,10_24,South Sudan & Sudan,124
2025,June,Age Group,10_24,Sri Lanka,46
2025,June,Age Group,10_24,UK & Ireland,45
2025,June,Age Group,10_24,Vietnam,27
2025,June,Age Group,25_44,Afghanistan,94
2025,June,Age Group,25_44,Australia,6048
2025,June,Age Group,25_44,China,112
2025,June,Age Group,25_44,India,301
2025,June,Age Group,25_44,Iran,20
2025,June,Age Group,25_44,New Zealand,220
2025,June,Age Group,25_44,South Sudan & Sudan,196
2025,June,Age Group,25_44,Sri Lanka,53
2025,June,Age Group,25_44,UK & Ireland,67
2025,June,Age Group,25_44,Vietnam,37
2025,June,Age Group,25_44,Afghanistan,133
2025,June,Age Group,25_44,Australia,7270
2025,June,Age Group,25_44,China,97
2025,June,Age Group,25_44,India,332
2025,June,Age Group,25_44,Iran,61
2025,June,Age Group,25_44,New Zealand,272
2025,June,Age Group,25_44,South Sudan & Sudan,178
